year,duration,NAR,block,treat,NP,np,NR,ESNpie,beta,gamma,ANPP,BNPP,PAR
2018,1,5,1,1,1,N1P0,4,2.684079905,0.3461836,37,473.55,93.54,5.497080483
2018,1,3,1,3,2,N1P1,1,1.925064126,0.3624324,30,495.13,220.87,3.305301081
2018,1,6,1,3,2,N1P1,4,1.880845799,0.347882,34,547.3,236.46,4.10815306
2018,1,2,1,2,0,N0P0,2,3.492754872,0.4957668,36,215.7,129.92,25.57791649
2018,1,0,1,1,0,N0P0,0,2.280495307,0.465286,35,219.11,122.13,14.81880235
2018,1,6,1,1,1,N1P0,5,2.436445049,0.2764948,33,459.78,135.12,12.73974661
2018,1,7,1,1,1,N1P0,6,2.738554325,0.3706993,32,436.71,171.5,4.201913017
2018,1,4,1,2,2,N1P1,2,2.393623989,0.3546351,34,578.07,317.01,1.578276472
2018,1,5,1,2,1,N1P0,4,2.414516466,0.3771006,36,504.18,155.91,7.346083924
2018,1,5,1,3,2,N1P1,3,2.34913427,0.3425738,34,445.58,202.68,3.778217908
2018,1,2,1,1,0,N0P0,2,3.668624145,0.3574102,41,208.25,150.71,31.0979111
2018,1,7,1,3,2,N1P1,5,1.95094339,0.3219846,28,433.42,127.32,9.244980937
2018,1,2,1,3,2,N1P1,0,2.291041018,0.4092136,35,416.91,491.11,2.629300399
2018,1,4,1,3,1,N1P0,3,2.66157131,0.4539542,38,414.67,163.7,10.57800811
2018,1,6,1,2,2,N1P1,4,2.403691752,0.326171,34,503.39,228.66,1.784221626
2018,1,0,1,2,0,N0P0,0,3.271178419,0.4307963,35,217.18,140.32,41.13296155
2018,1,3,1,2,0,N0P0,3,3.102286635,0.4678124,43,212.81,85.75,29.39098912
2018,1,7,1,2,2,N1P1,5,2.173977992,0.4244918,34,501.38,192.29,1.046899498
2018,1,8,1,3,2,N1P1,6,2.350268991,0.3517933,29,454.67,296.22,5.079228243
2018,1,4,1,1,0,N0P0,4,3.569966709,0.3554874,37,320.83,270.24,10.57690544
2018,1,3,1,1,0,N0P0,3,3.294576304,0.3246816,39,174.81,101.34,43.26017542
2018,1,7,2,1,1,N1P0,6,4.337224145,0.3706993,32,432.91,80.55,4.563766272
2018,1,2,2,2,0,N0P0,2,5.213852087,0.4957668,36,280.32,179.29,20.22700238
2018,1,3,2,1,0,N0P0,3,3.639097744,0.3246816,39,209.41,168.9,34.17263919
2018,1,5,2,3,2,N1P1,3,1.990698935,0.3425738,34,488.43,127.32,1.954564659
2018,1,8,2,3,2,N1P1,6,2.331690881,0.3517933,29,464.78,236.46,1.879662979
2018,1,0,2,1,0,N0P0,0,2.774772942,0.465286,35,309.65,155.91,25.43024573
2018,1,5,2,1,1,N1P0,4,2.591564487,0.3461836,37,519.94,213.07,2.256498283
2018,1,4,2,3,1,N1P0,3,2.447116025,0.4539542,38,452.39,96.14,13.079066
2018,1,7,2,2,2,N1P1,5,2.670965798,0.4244918,34,547.95,132.52,2.48601582
2018,1,5,2,2,1,N1P0,4,2.153278465,0.3771006,36,462.34,239.06,6.226670106
2018,1,6,2,1,1,N1P0,5,2.423925185,0.2764948,33,432.48,155.91,5.851012483
2018,1,4,2,2,2,N1P1,2,1.798170651,0.3546351,34,466.92,304.02,2.321032643
2018,1,3,2,2,0,N0P0,3,2.290440592,0.4678124,43,241.8,249.45,37.36137626
2018,1,7,2,3,2,N1P1,5,2.086323677,0.3219846,28,591.17,140.32,1.965995801
2018,1,3,2,3,2,N1P1,1,1.629911899,0.3624324,30,458.38,280.63,2.952531249
2018,1,6,2,2,2,N1P1,4,1.974974149,0.326171,34,525.06,129.92,3.960050826
2018,1,0,2,2,0,N0P0,0,1.995918147,0.4307963,35,181.29,98.74,32.1206329
2018,1,4,2,1,0,N0P0,4,2.148192964,0.3554874,37,192.53,116.93,20.3073627
2018,1,2,2,1,0,N0P0,2,3.416254108,0.3574102,41,223.27,228.66,30.73448406
2018,1,2,2,3,2,N1P1,0,2.178609485,0.4092136,35,434.08,207.88,6.199386566
2018,1,6,2,3,2,N1P1,4,1.984561111,0.347882,34,524.79,181.89,4.524396999
